,Origin Time,Year,Latitude,Longitude,Depth,Magnitude,Location,Place,color
2284,2020-02-01 12:45:36,2020,31.7,75.8,19.0,2.4,"46km NNE of Jalandhar, Punjab, India", Punjab,0
1193,2020-09-19 08:15:43,2020,32.74,76.36,5.0,2.8,"58km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2293,2020-01-31 00:39:57,2020,33.2,76.3,10.0,3.3,"109km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
277,2021-05-08 08:09:50,2021,32.98,76.08,10.0,3.0,"87km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2302,2020-01-29 11:40:45,2020,33.5,75.5,10.0,3.3,"59km SSE of Pahalgam, Jammu and Kashmir, India", Jammu & Kashmir,0
270,2021-05-09 02:54:43,2021,33.05,75.99,5.0,2.7,"97km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2274,2020-02-04 04:13:22,2020,32.8,76.4,5.0,2.5,"65km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
263,2021-05-10 03:49:00,2021,32.32,76.86,5.0,2.4,"32km WNW of Manali, Himachal Pradesh, India", Himachal Pradesh,0
2317,2020-01-26 02:34:01,2020,32.84,76.42,10.0,2.6,"69km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2337,2020-01-22 23:19:56,2020,32.8,76.1,5.0,2.2,"67km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2338,2020-01-22 21:01:22,2020,32.7,76.0,5.0,3.0,"61km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1179,2020-09-22 21:40:29,2020,34.15,74.7,5.0,3.6,"11km NW of Srinagar, Jammu and Kashmir, India", Jammu & Kashmir,0
234,2021-05-19 14:34:18,2021,33.04,75.92,5.0,3.2,"92km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
228,2021-05-20 15:05:20,2021,32.83,76.13,10.0,3.2,"70km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2315,2020-01-26 04:32:50,2020,33.0,75.9,5.0,3.5,"90km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
941,2020-11-12 02:29:33,2020,32.7,75.84,5.0,4.0,"70km NW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1213,2020-09-14 06:38:58,2020,32.39,76.39,10.0,2.5,"20km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2253,2020-02-09 14:03:44,2020,33.2,76.3,10.0,2.5,"109km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
400,2021-04-16 03:17:09,2021,32.31,76.39,10.0,2.9,"11km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2173,2020-02-27 15:16:46,2020,33.0,76.1,10.0,3.6,"89km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2175,2020-02-26 22:42:36,2020,33.0,76.1,10.0,2.7,"89km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2176,2020-02-26 20:34:04,2020,33.4,76.3,10.0,5.2,"114km SE of Pahalgam, Jammu and Kashmir, India", Jammu & Kashmir,0
2178,2020-02-26 07:58:05,2020,32.9,76.0,5.0,3.6,"81km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2180,2020-02-26 02:09:21,2020,31.8,77.3,5.0,2.2,"25km SE of Kullu, Himachal Pradesh, India", Himachal Pradesh,0
2197,2020-02-22 04:20:42,2020,33.2,75.9,9.0,2.9,"93km ENE of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
377,2021-04-22 05:54:21,2021,31.37,76.58,8.0,2.9,"40km SW of Mandi, Himachal Pradesh, India", Himachal Pradesh,0
376,2021-04-22 05:55:45,2021,31.36,76.82,10.0,2.7,"27km SSW of Mandi, Himachal Pradesh, India", Himachal Pradesh,0
2209,2020-02-18 12:48:32,2020,31.5,77.5,5.0,2.0,"53km NE of Shimla, Himachal Pradesh, India", Himachal Pradesh,0
369,2021-04-25 05:23:39,2021,32.76,76.2,5.0,2.2,"61km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2211,2020-02-18 03:40:05,2020,33.8,75.9,17.0,3.6,"59km ESE of Pahalgam, Jammu and Kashmir, India", Jammu & Kashmir,0
350,2021-04-28 17:04:04,2021,32.14,76.61,5.0,2.7,"28km ESE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2245,2020-02-11 02:14:25,2020,32.9,73.6,10.0,3.5,"84km SW of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
2249,2020-02-10 03:51:01,2020,32.8,76.5,5.0,2.6,"66km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2170,2020-02-28 10:48:40,2020,31.4,77.4,5.0,2.7,"39km NNE of Shimla, Himachal Pradesh, India", Himachal Pradesh,0
2347,2020-01-20 05:47:07,2020,32.6,76.0,5.0,2.5,"52km NW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1237,2020-09-10 11:36:18,2020,33.02,73.63,10.0,3.6,"74km WSW of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
1977,2020-04-06 07:03:51,2020,32.3,76.6,5.0,3.1,"27km ENE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1568,2020-07-02 14:02:12,2020,32.95,75.86,5.0,3.6,"86km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
1569,2020-07-02 13:10:39,2020,32.93,75.88,5.0,4.4,"88km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
1576,2020-06-30 23:32:27,2020,33.14,76.03,5.0,4.6,"103km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
1578,2020-06-30 08:56:56,2020,33.13,75.82,10.0,4.0,"84km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
726,2021-01-19 21:13:21,2021,34.3,74.53,5.0,3.6,"31km NNE of Gulmarg, Jammu and Kashmir, India", Jammu & Kashmir,0
1628,2020-06-21 01:33:46,2020,33.32,73.66,10.0,2.6,"61km W of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
1549,2020-07-07 00:54:27,2020,33.05,73.56,5.0,4.3,"78km WSW of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
1644,2020-06-17 03:14:36,2020,31.14,72.06,18.0,3.9,"272km W of Amritsar, Punjab, India", Punjab,0
1650,2020-06-15 22:07:39,2020,34.1,75.7,10.0,3.6,"36km ENE of Pahalgam, Jammu and Kashmir, India", Jammu & Kashmir,0
835,2020-12-16 02:07:30,2020,31.49,76.84,5.0,3.2,"13km SSW of Mandi, Himachal Pradesh, India", Himachal Pradesh,0
842,2020-12-13 23:33:08,2020,31.98,77.35,10.0,2.4,"22km E of Kullu, Himachal Pradesh, India", Himachal Pradesh,0
1654,2020-06-15 06:31:10,2020,33.0,75.9,5.0,3.9,"90km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
1655,2020-06-15 04:36:17,2020,33.0,75.9,5.0,3.0,"90km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
699,2021-01-28 16:46:02,2021,32.222,76.418,10.0,2.8,"8km E of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1648,2020-06-16 14:10:10,2020,33.02,75.85,5.0,3.9,"85km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
1543,2020-07-08 02:12:20,2020,32.98,73.54,10.0,4.3,"84km WSW of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
741,2021-01-16 22:01:04,2021,33.03,75.93,10.0,4.1,"93km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
818,2020-12-21 00:27:36,2020,32.69,76.42,5.0,2.4,"53km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1453,2020-07-22 18:33:08,2020,32.302,76.629,3.0,2.9,"30km ENE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1463,2020-07-20 22:02:29,2020,33.01,75.87,5.0,3.5,"87km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
1437,2020-07-24 05:11:19,2020,33.05,75.89,5.0,3.0,"89km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
1421,2020-07-27 13:41:21,2020,32.592,76.346,10.0,3.1,"41km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1406,2020-07-30 02:50:42,2020,31.28,74.57,11.0,3.1,"48km SW of Amritsar, Punjab, India", Punjab,0
777,2021-01-02 21:45:56,2021,32.51,76.4,30.0,2.6,"33km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
772,2021-01-04 10:58:43,2021,34.28,74.52,5.0,3.5,"28km NNE of Gulmarg, Jammu and Kashmir, India", Jammu & Kashmir,0
771,2021-01-05 13:09:22,2021,32.35,76.61,5.0,3.2,"30km ENE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1498,2020-07-17 04:55:36,2020,32.99,75.88,5.0,3.9,"88km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
1501,2020-07-16 18:38:53,2020,33.03,75.9,10.0,4.1,"90km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
1507,2020-07-16 04:47:03,2020,31.69,76.21,10.0,2.3,"59km S of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
760,2021-01-09 20:21:50,2021,32.31,76.3,10.0,4.2,"10km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
817,2020-12-21 08:33:46,2020,33.66,76.64,5.0,3.7,"79km SW of Alchi(Leh),Jammu & Kashmir,India", Jammu & Kashmir,0
752,2021-01-11 19:29:15,2021,33.22,75.58,5.0,3.8,"65km ENE of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
751,2021-01-11 19:32:04,2021,33.34,75.47,5.0,5.1,"63km NE of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
1656,2020-06-15 04:07:55,2020,33.0,75.9,5.0,3.2,"90km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
510,2021-03-20 01:30:44,2021,32.83,73.65,10.0,3.6,"86km SW of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
1657,2020-06-15 04:01:11,2020,33.0,75.9,5.0,3.4,"90km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
1660,2020-06-14 20:35:24,2020,33.0,75.9,5.0,2.9,"90km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
1888,2020-04-20 04:11:57,2020,33.1,76.3,10.0,2.6,"98km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1905,2020-04-17 01:10:36,2020,33.2,75.9,5.0,3.0,"93km ENE of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
1913,2020-04-15 10:52:31,2020,31.1,71.8,205.0,4.6,"297km W of Amritsar, Punjab, India", Punjab,0
556,2021-03-07 04:40:34,2021,33.0,75.86,5.0,2.9,"86km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
1943,2020-04-10 11:51:38,2020,33.3,76.6,10.0,3.0,"115km SSW of Alchi(Leh),Jammu & Kashmir,India", Jammu & Kashmir,0
552,2021-03-07 16:29:11,2021,33.03,73.6,10.0,3.8,"76km WSW of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
595,2021-02-25 03:55:26,2021,32.85,76.22,5.0,2.4,"70km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
549,2021-03-08 10:20:43,2021,32.92,75.88,5.0,3.6,"88km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
545,2021-03-09 12:34:34,2021,32.64,76.5,10.0,3.5,"49km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1950,2020-04-09 01:54:47,2020,32.7,76.1,2.0,2.2,"57km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
541,2021-03-09 23:34:58,2021,32.72,76.6,5.0,2.8,"61km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
539,2021-03-10 07:50:34,2021,32.7,76.62,5.0,3.4,"60km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1965,2020-04-07 12:59:43,2020,32.8,74.3,199.0,4.2,"62km WSW of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
