,Origin Time,Year,Latitude,Longitude,Depth,Magnitude,Location,Place,color
2576,2019-11-10 02:54:39,2019,32.9,73.5,10.0,3.8,"92km SW of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
10,2021-07-27 05:54:26,2021,32.29,76.65,10.0,2.6,"31km ENE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
131,2021-06-15 15:43:42,2021,31.68,75.56,36.0,2.9,"39km N of Jalandhar, Punjab, India", Punjab,0
1053,2020-10-23 12:15:25,2020,32.86,75.88,5.0,2.7,"82km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2570,2019-11-13 01:51:32,2019,32.6,75.8,10.0,2.4,"64km NW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2697,2019-08-22 04:50:55,2019,32.4,76.3,5.0,2.7,"20km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2371,2020-01-15 12:02:46,2020,33.0,76.1,5.0,3.2,"89km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2572,2019-11-13 00:51:54,2019,32.6,75.9,10.0,2.3,"58km NW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2593,2019-10-31 12:44:58,2019,31.5,77.0,10.0,3.4,"12km SE of Mandi, Himachal Pradesh, India", Himachal Pradesh,0
141,2021-06-09 17:06:01,2021,31.96,72.89,10.0,4.1,"190km W of Amritsar, Punjab, India", Punjab,0
2383,2020-01-11 13:34:45,2020,32.8,73.5,123.0,4.0,"99km SW of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
145,2021-06-06 06:21:52,2021,32.99,75.82,5.0,2.5,"82km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
2378,2020-01-12 11:55:48,2020,32.3,76.2,5.0,3.4,"14km NW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2,2021-07-30 21:31:10,2021,31.5,74.37,33.0,3.4,"49km WSW of Amritsar, Punjab, India", Punjab,0
980,2020-11-06 06:25:55,2020,32.87,76.2,11.0,2.9,"73km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
28,2021-07-21 04:57:46,2021,34.2,77.78,200.0,3.6,"19km ENE of Leh, Laddakh, India", Laddakh,0
2401,2020-01-02 19:38:50,2020,32.7,76.5,5.0,3.7,"56km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1021,2020-10-29 10:50:48,2020,31.93,76.25,5.0,2.5,"32km SSW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2400,2020-01-03 10:46:52,2020,32.7,76.5,5.0,3.4,"56km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
117,2021-06-19 01:07:32,2021,26.72,92.4,30.0,4.2,"39km W of Tezpur, Assam, India", Assam,1
1827,2020-05-04 02:47:56,2020,26.0,92.5,5.0,2.6,"68km ENE of Nongpoh, Meghalaya, India", Meghalaya,1
1891,2020-04-18 10:02:21,2020,25.81,90.23,22.0,3.8,"33km N of Tura, Meghalaya, India", Meghalaya,1
604,2021-02-22 14:01:53,2021,26.298,92.896,10.0,2.8,"40km SSE of Tezpur, Assam, India", Assam,1
586,2021-02-25 22:33:21,2021,26.19,92.05,30.0,3.6,"31km E of Guwahati, Assam, India", Assam,1
2011,2020-03-31 09:23:22,2020,25.71,91.74,15.0,3.2,"20km SSW of Nongpoh, Meghalaya, India", Meghalaya,1
982,2020-11-05 00:24:53,2020,28.29,91.74,10.0,3.3,"80km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2644,2019-10-07 18:05:47,2019,27.5,91.5,10.0,4.3,"38km WSW of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
76,2021-07-07 13:56:42,2021,25.97,90.42,10.0,3.7,"55km NNE of Tura, Meghalaya, India", Meghalaya,1
603,2021-02-22 21:14:22,2021,27.42,92.65,10.0,2.6,"78km ESE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
1835,2020-05-02 07:10:04,2020,27.2,91.4,140.0,3.1,"63km SW of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
1830,2020-05-03 16:00:39,2020,26.3,93.0,46.0,3.5,"44km SSE of Tezpur, Assam, India", Assam,1
119,2021-06-18 12:42:51,2021,26.73,92.4,10.0,2.8,"39km WNW of Tezpur, Assam, India", Assam,1
78,2021-07-07 08:45:25,2021,26.15,90.28,14.0,5.2,"71km N of Tura, Meghalaya, India", Meghalaya,1
1855,2020-04-25 22:45:58,2020,27.8,91.1,5.0,2.6,"80km WNW of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
1256,2020-09-06 07:30:05,2020,27.83,92.24,10.0,3.4,"45km NE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2589,2019-11-03 02:00:01,2019,26.4,93.3,24.0,3.2,"57km ESE of Tezpur, Assam, India", Assam,1
1961,2020-04-07 20:29:52,2020,27.6,92.7,5.0,3.1,"81km E of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2632,2019-10-15 01:56:41,2019,27.4,92.4,10.0,3.1,"55km ESE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
892,2020-11-23 02:13:47,2020,27.96,93.88,10.0,2.6,"79km W of Basar, Arunachal Pradesh, India", Arunachal Pradesh,1
2594,2019-10-31 06:23:02,2019,27.6,90.4,10.0,3.3,"76km E of Thimphu, Bhutan", Bhutan,1
535,2021-03-10 18:53:52,2021,27.1,90.48,6.0,2.7,"93km ESE of Thimphu, Bhutan", Bhutan,1
1952,2020-04-08 21:55:39,2020,27.3,91.7,32.0,3.7,"35km SSW of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
106,2021-06-22 22:14:35,2021,28.13,92.09,70.0,4.6,"64km NNE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
108,2021-06-21 12:57:41,2021,26.53,92.67,15.0,2.8,"18km SW of Tezpur, Assam, India", Assam,1
543,2021-03-09 19:29:28,2021,27.2,92.37,10.0,2.8,"64km SE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
1970,2020-04-06 19:43:24,2020,26.3,93.5,13.0,2.5,"49km NNW of Dimapur, Nagaland, India", Nagaland,1
525,2021-03-12 16:14:16,2021,26.13,92.71,5.0,3.1,"58km S of Tezpur, Assam, India", Assam,1
1980,2020-04-06 01:08:49,2020,26.7,93.4,5.0,2.5,"47km SSW of Itanagar, Arunachal Pradesh, India", Arunachal Pradesh,1
2606,2019-10-28 01:20:55,2019,27.3,91.5,4.0,2.6,"48km SW of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
1944,2020-04-10 04:48:36,2020,27.3,91.6,10.0,2.8,"41km SW of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
523,2021-03-13 02:21:37,2021,26.36,90.13,10.0,2.8,"94km N of Tura, Meghalaya, India", Meghalaya,1
1982,2020-04-05 23:24:55,2020,26.8,92.7,12.0,2.9,"18km NNW of Tezpur, Assam, India", Assam,1
93,2021-06-30 21:02:17,2021,26.52,92.52,65.0,2.7,"30km WSW of Tezpur, Assam, India", Assam,1
1983,2020-04-05 23:20:32,2020,26.4,92.7,38.0,4.3,"29km SSW of Tezpur, Assam, India", Assam,1
1252,2020-09-07 23:06:05,2020,26.44,93.42,32.0,3.1,"66km NNW of Dimapur, Nagaland, India", Nagaland,1
1995,2020-04-03 19:47:56,2020,26.2,93.1,26.0,3.2,"58km SSE of Tezpur, Assam, India", Assam,1
1922,2020-04-14 03:13:05,2020,25.1,91.8,34.0,3.3,"20km SSE of Cherrapunjee, Meghalaya, India", Meghalaya,1
1998,2020-04-03 04:02:01,2020,27.3,92.0,15.0,2.9,"33km SSE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
1919,2020-04-14 14:56:34,2020,27.7,92.7,15.0,3.7,"82km E of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
569,2021-03-02 21:30:09,2021,27.69,91.8,10.0,2.8,"14km NNW of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
573,2021-03-02 01:47:58,2021,26.78,93.05,15.0,2.7,"29km ENE of Tezpur, Assam, India", Assam,1
574,2021-03-02 01:32:22,2021,26.41,92.29,15.0,2.9,"56km WSW of Tezpur, Assam, India", Assam,1
110,2021-06-21 06:09:41,2021,27.0,93.43,10.0,3.0,"19km WSW of Itanagar, Arunachal Pradesh, India", Arunachal Pradesh,1
1900,2020-04-17 11:45:27,2020,27.6,93.7,10.0,4.2,"58km N of Itanagar, Arunachal Pradesh, India", Arunachal Pradesh,1
2349,2020-01-20 01:52:31,2020,27.2,92.3,5.0,2.3,"59km SE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
1790,2020-05-13 01:09:27,2020,26.8,93.4,10.0,2.8,"37km SSW of Itanagar, Arunachal Pradesh, India", Arunachal Pradesh,1
1825,2020-05-05 01:40:44,2020,25.8,90.6,6.0,3.1,"50km NE of Tura, Meghalaya, India", Meghalaya,1
1006,2020-11-01 00:13:55,2020,28.21,92.43,67.0,3.4,"88km NE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2691,2019-08-29 02:16:33,2019,26.0,92.4,1.0,3.5,"58km ENE of Nongpoh, Meghalaya, India", Meghalaya,1
2689,2019-09-02 17:29:52,2019,27.4,93.0,27.0,3.5,"69km WNW of Itanagar, Arunachal Pradesh, India", Arunachal Pradesh,1
1546,2020-07-07 01:33:16,2020,28.36,92.12,170.0,3.4,"90km NNE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
1341,2020-08-14 01:48:31,2020,25.87,93.27,14.0,2.5,"45km W of Dimapur, Nagaland, India", Nagaland,1
29,2021-07-21 02:10:49,2021,25.88,90.34,10.0,4.1,"42km NNE of Tura, Meghalaya, India", Meghalaya,1
2685,2019-09-06 11:10:11,2019,26.4,93.3,14.0,3.5,"57km ESE of Tezpur, Assam, India", Assam,1
1574,2020-07-01 04:08:19,2020,25.99,92.2,5.0,2.6,"39km ENE of Nongpoh, Meghalaya, India", Meghalaya,1
1575,2020-07-01 02:57:51,2020,25.37,91.58,8.0,2.9,"18km NW of Cherrapunjee, Meghalaya, India", Meghalaya,1
2683,2019-09-08 07:03:07,2019,26.4,92.9,10.0,3.3,"30km SSE of Tezpur, Assam, India", Assam,1
1586,2020-06-28 12:24:59,2020,25.81,90.33,6.0,3.9,"35km NNE of Tura, Meghalaya, India", Meghalaya,1
1326,2020-08-17 02:59:38,2020,26.67,92.79,40.0,2.6,"1km N of Tezpur, Assam, India", Assam,1
1596,2020-06-26 18:57:16,2020,25.38,89.43,10.0,3.3,"79km W of Tura, Meghalaya, India", Meghalaya,1
714,2021-01-23 05:32:01,2021,26.42,93.41,5.0,2.3,"65km NNW of Dimapur, Nagaland, India", Nagaland,1
709,2021-01-25 02:15:31,2021,27.51,93.21,11.0,3.5,"61km NW of Itanagar, Arunachal Pradesh, India", Arunachal Pradesh,1
1540,2020-07-08 14:26:30,2020,26.34,93.15,35.0,2.7,"49km SE of Tezpur, Assam, India", Assam,1
2671,2019-09-20 03:10:47,2019,25.9,90.8,5.0,3.2,"73km NE of Tura, Meghalaya, India", Meghalaya,1
1538,2020-07-09 03:38:21,2020,25.5,91.47,5.0,2.5,"36km NW of Cherrapunjee, Meghalaya, India", Meghalaya,1
22,2021-07-23 11:46:58,2021,25.94,92.56,5.0,2.9,"73km E of Nongpoh, Meghalaya, India", Meghalaya,1
2712,2019-08-06 01:38:55,2019,26.1,89.9,33.0,3.4,"71km NNW of Tura, Meghalaya, India", Meghalaya,1
1435,2020-07-24 11:08:13,2020,26.18,93.04,25.0,3.5,"58km SSE of Tezpur, Assam, India", Assam,1
2709,2019-08-10 00:01:39,2019,26.7,92.5,26.0,3.5,"29km W of Tezpur, Assam, India", Assam,1
7,2021-07-29 18:47:30,2021,26.6,92.51,28.0,3.1,"28km WSW of Tezpur, Assam, India", Assam,1
808,2020-12-24 06:56:06,2020,26.1,93.01,5.0,3.0,"65km SSE of Tezpur, Assam, India", Assam,1
774,2021-01-03 22:15:28,2021,26.52,93.03,10.0,2.8,"27km ESE of Tezpur, Assam, India", Assam,1
773,2021-01-04 00:13:07,2021,26.21,90.94,5.0,2.5,"79km W of Guwahati, Assam, India", Assam,1
2703,2019-08-16 17:47:02,2019,27.3,93.4,33.0,3.6,"31km NW of Itanagar, Arunachal Pradesh, India", Arunachal Pradesh,1
770,2021-01-06 04:32:07,2021,26.95,92.93,8.0,2.5,"35km NNE of Tezpur, Assam, India", Assam,1
1376,2020-08-06 09:46:54,2020,27.24,92.08,20.0,3.0,"42km SSE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
1051,2020-10-24 01:23:06,2020,25.83,91.54,10.0,2.9,"29km W of Nongpoh, Meghalaya, India", Meghalaya,1
1503,2020-07-16 13:09:30,2020,26.49,90.12,11.0,2.6,"108km N of Tura, Meghalaya, India", Meghalaya,1
1370,2020-08-08 05:26:15,2020,26.6,92.59,10.0,3.5,"21km WSW of Tezpur, Assam, India", Assam,1
20,2021-07-23 21:31:58,2021,27.56,91.13,10.0,3.2,"73km W of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
1517,2020-07-13 10:27:50,2020,26.36,91.57,60.0,2.5,"29km NW of Guwahati, Assam, India", Assam,1
2696,2019-08-22 21:15:17,2019,26.5,93.1,42.0,3.7,"35km ESE of Tezpur, Assam, India", Assam,1
1826,2020-05-04 15:45:49,2020,27.2,92.8,10.0,3.6,"60km N of Tezpur, Assam, India", Assam,1
43,2021-07-16 08:39:11,2021,26.48,92.44,10.0,3.4,"40km WSW of Tezpur, Assam, India", Assam,1
695,2021-01-30 20:40:35,2021,26.85,93.31,30.0,2.7,"39km SW of Itanagar, Arunachal Pradesh, India", Arunachal Pradesh,1
67,2021-07-10 07:31:12,2021,26.62,92.45,17.0,3.1,"34km W of Tezpur, Assam, India", Assam,1
68,2021-07-09 13:16:25,2021,25.99,90.27,5.0,4.3,"53km N of Tura, Meghalaya, India", Meghalaya,1
1774,2020-05-16 03:44:42,2020,25.5,91.6,10.0,2.2,"28km NNW of Cherrapunjee, Meghalaya, India", Meghalaya,1
1789,2020-05-13 05:50:33,2020,26.1,89.9,22.0,2.9,"71km NNW of Tura, Meghalaya, India", Meghalaya,1
499,2021-03-21 17:52:41,2021,26.53,92.58,25.0,4.1,"25km WSW of Tezpur, Assam, India", Assam,1
1803,2020-05-09 23:52:42,2020,26.9,93.0,21.0,2.6,"34km NE of Tezpur, Assam, India", Assam,1
993,2020-11-03 01:13:17,2020,25.69,91.15,10.0,4.4,"71km WSW of Nongpoh, Meghalaya, India", Meghalaya,1
630,2021-02-17 17:54:46,2021,26.71,92.63,10.0,4.7,"17km WNW of Tezpur, Assam, India", Assam,1
871,2020-12-05 10:46:37,2020,26.92,92.67,10.0,3.4,"32km NNW of Tezpur, Assam, India", Assam,1
72,2021-07-08 17:02:43,2021,26.34,92.79,15.0,2.9,"34km S of Tezpur, Assam, India", Assam,1
2657,2019-09-29 15:16:59,2019,26.5,92.4,21.0,3.3,"42km WSW of Tezpur, Assam, India", Assam,1
1816,2020-05-07 00:10:50,2020,26.5,92.7,34.0,2.7,"19km SSW of Tezpur, Assam, India", Assam,1
1820,2020-05-06 04:28:35,2020,25.94,90.89,6.0,2.9,"83km NE of Tura, Meghalaya, India", Meghalaya,1
619,2021-02-19 07:54:50,2021,25.55,91.96,50.0,2.8,"7km ESE of Shillong, Meghalaya, India", Meghalaya,1
1822,2020-05-06 03:19:13,2020,27.45,93.48,10.0,2.7,"42km NNW of Itanagar, Arunachal Pradesh, India", Arunachal Pradesh,1
646,2021-02-14 05:43:51,2021,28.27,93.39,10.0,2.9,"131km WNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,1
1085,2020-10-17 21:41:48,2020,26.46,93.52,12.0,2.7,"64km NNW of Dimapur, Nagaland, India", Nagaland,1
2661,2019-09-26 20:09:08,2019,25.9,90.5,5.0,3.2,"52km NE of Tura, Meghalaya, India", Meghalaya,1
1262,2020-09-04 21:05:44,2020,25.68,90.29,10.0,2.4,"20km NNE of Tura, Meghalaya, India", Meghalaya,1
1113,2020-10-11 00:41:28,2020,27.2,92.07,10.0,2.5,"46km SSE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2666,2019-09-23 21:57:35,2019,25.9,90.4,10.0,3.1,"47km NNE of Tura, Meghalaya, India", Meghalaya,1
1288,2020-08-27 22:13:24,2020,27.13,92.48,10.0,3.4,"61km NNW of Tezpur, Assam, India", Assam,1
1673,2020-06-12 19:03:42,2020,26.4,91.3,10.0,3.4,"51km WNW of Guwahati, Assam, India", Assam,1
1120,2020-10-09 08:21:16,2020,27.66,91.88,10.0,3.0,"9km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
1287,2020-08-28 01:02:46,2020,27.93,92.03,5.0,3.4,"42km NNE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
854,2020-12-10 22:26:47,2020,25.87,90.52,10.0,3.9,"50km NE of Tura, Meghalaya, India", Meghalaya,1
1687,2020-06-09 13:29:45,2020,28.8,91.9,10.0,4.5,"135km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
1699,2020-06-05 01:43:09,2020,25.6,91.4,10.0,2.3,"49km NW of Cherrapunjee, Meghalaya, India", Meghalaya,1
1703,2020-06-03 07:10:49,2020,24.8,91.1,55.0,4.3,"82km SW of Cherrapunjee, Meghalaya, India", Meghalaya,1
1708,2020-06-02 04:53:18,2020,28.2,91.9,10.0,3.5,"69km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
52,2021-07-14 19:55:09,2021,25.99,90.4,8.0,3.4,"56km NNE of Tura, Meghalaya, India", Meghalaya,1
1286,2020-08-28 02:55:11,2020,27.51,92.8,5.0,2.5,"91km E of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
663,2021-02-08 13:49:15,2021,26.57,93.14,30.0,3.7,"35km ESE of Tezpur, Assam, India", Assam,1
660,2021-02-09 04:09:11,2021,26.99,92.54,5.0,2.3,"45km NW of Tezpur, Assam, India", Assam,1
1758,2020-05-22 02:03:54,2020,27.2,92.4,10.0,2.3,"66km SE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
498,2021-03-21 18:12:55,2021,26.64,92.45,10.0,3.1,"34km W of Tezpur, Assam, India", Assam,1
129,2021-06-15 22:53:57,2021,26.59,92.19,10.0,3.0,"60km W of Tezpur, Assam, India", Assam,1
494,2021-03-22 21:59:18,2021,26.0,90.48,10.0,2.7,"60km NNE of Tura, Meghalaya, India", Meghalaya,1
315,2021-05-01 20:26:58,2021,26.73,92.37,14.0,2.7,"42km W of Tezpur, Assam, India", Assam,1
314,2021-05-02 03:48:51,2021,26.71,92.4,16.0,2.7,"39km W of Tezpur, Assam, India", Assam,1
2257,2020-02-08 23:45:24,2020,25.56,93.08,20.0,2.6,"72km WSW of Chumukedima, Nagaland, India", Nagaland,1
312,2021-05-02 23:02:37,2021,26.82,92.43,13.0,2.6,"40km WNW of Tezpur, Assam, India", Assam,1
311,2021-05-03 00:26:32,2021,26.87,91.94,10.0,2.8,"79km S of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
310,2021-05-03 01:23:39,2021,26.43,92.24,40.0,2.7,"59km ENE of Guwahati, Assam, India", Assam,1
2258,2020-02-08 18:17:03,2020,26.3,90.7,10.0,5.0,"100km NNE of Tura, Meghalaya, India", Meghalaya,1
316,2021-05-01 20:09:46,2021,26.72,92.39,15.0,3.3,"40km W of Tezpur, Assam, India", Assam,1
205,2021-05-22 21:10:00,2021,27.73,92.58,10.0,2.8,"71km ENE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
306,2021-05-03 21:55:01,2021,26.71,92.39,17.0,2.8,"40km W of Tezpur, Assam, India", Assam,1
305,2021-05-03 22:05:12,2021,26.09,90.41,33.0,2.5,"67km NNE of Tura, Meghalaya, India", Meghalaya,1
2426,2019-12-28 14:30:41,2019,26.7,93.8,23.0,3.5,"40km W of Jorhat, Assam, India", Assam,1
303,2021-05-04 00:09:03,2021,26.65,92.41,25.0,2.8,"38km W of Tezpur, Assam, India", Assam,1
2413,2019-12-31 14:16:28,2019,26.1,93.3,40.0,2.9,"47km WNW of Dimapur, Nagaland, India", Nagaland,1
2409,2020-01-01 20:07:44,2020,27.6,92.7,10.0,3.5,"81km E of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
947,2020-11-11 04:11:50,2020,26.28,93.09,10.0,2.9,"50km SE of Tezpur, Assam, India", Assam,1
307,2021-05-03 18:13:08,2021,26.74,92.45,10.0,3.7,"35km WNW of Tezpur, Assam, India", Assam,1
295,2021-05-05 05:48:50,2021,27.39,92.38,10.0,3.2,"54km ESE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
317,2021-05-01 12:57:58,2021,26.09,92.31,27.0,2.6,"53km ENE of Nongpoh, Meghalaya, India", Meghalaya,1
2432,2019-12-25 09:14:09,2019,25.5,91.3,10.0,3.5,"50km WNW of Cherrapunjee, Meghalaya, India", Meghalaya,1
345,2021-04-29 00:24:02,2021,26.76,92.93,18.0,2.6,"18km NE of Tezpur, Assam, India", Assam,1
344,2021-04-29 01:10:24,2021,26.71,92.4,19.0,2.9,"39km W of Tezpur, Assam, India", Assam,1
343,2021-04-29 01:20:53,2021,26.72,92.43,19.0,4.6,"36km W of Tezpur, Assam, India", Assam,1
342,2021-04-29 01:41:49,2021,26.78,92.4,11.0,2.3,"41km WNW of Tezpur, Assam, India", Assam,1
341,2021-04-29 01:52:26,2021,26.73,92.43,16.0,2.7,"37km WNW of Tezpur, Assam, India", Assam,1
340,2021-04-29 02:38:33,2021,26.73,92.42,11.0,2.7,"38km WNW of Tezpur, Assam, India", Assam,1
339,2021-04-29 07:13:36,2021,26.86,93.01,30.0,2.8,"31km NE of Tezpur, Assam, India", Assam,1
2255,2020-02-09 06:44:42,2020,26.3,90.8,13.0,2.9,"95km W of Guwahati, Assam, India", Assam,1
337,2021-04-29 13:04:20,2021,26.61,92.33,27.0,3.6,"46km W of Tezpur, Assam, India", Assam,1
335,2021-04-29 16:17:33,2021,26.59,92.47,26.0,3.3,"32km WSW of Tezpur, Assam, India", Assam,1
334,2021-04-29 19:14:48,2021,26.74,92.36,10.0,2.8,"44km WNW of Tezpur, Assam, India", Assam,1
332,2021-04-30 01:08:23,2021,26.9,92.43,10.0,2.8,"45km NW of Tezpur, Assam, India", Assam,1
932,2020-11-13 03:23:49,2020,26.45,93.61,11.0,3.7,"61km N of Dimapur, Nagaland, India", Nagaland,1
325,2021-04-30 16:49:28,2021,26.58,92.51,40.0,3.5,"29km WSW of Tezpur, Assam, India", Assam,1
324,2021-04-30 18:27:31,2021,26.59,92.39,27.0,3.2,"40km W of Tezpur, Assam, India", Assam,1
1217,2020-09-12 21:12:36,2020,27.0,92.14,10.0,2.9,"69km SSE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2234,2020-02-14 01:43:53,2020,26.6,92.2,5.0,2.6,"59km W of Tezpur, Assam, India", Assam,1
1192,2020-09-19 20:18:38,2020,26.24,90.15,10.0,3.8,"80km N of Tura, Meghalaya, India", Meghalaya,1
293,2021-05-05 19:22:12,2021,26.68,92.39,27.0,3.5,"40km W of Tezpur, Assam, India", Assam,1
292,2021-05-06 08:31:58,2021,25.88,92.24,10.0,2.9,"40km E of Nongpoh, Meghalaya, India", Meghalaya,1
257,2021-05-12 20:57:45,2021,25.59,92.43,20.0,2.3,"53km E of Shillong, Meghalaya, India", Meghalaya,1
256,2021-05-13 02:05:16,2021,25.93,92.84,10.0,2.6,"80km S of Tezpur, Assam, India", Assam,1
2318,2020-01-26 01:22:04,2020,27.7,92.7,10.0,2.8,"82km E of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2320,2020-01-25 12:42:36,2020,25.7,91.0,10.0,2.6,"82km ENE of Tura, Meghalaya, India", Meghalaya,1
2389,2020-01-07 04:53:55,2020,25.0,92.3,15.0,3.8,"64km ESE of Cherrapunjee, Meghalaya, India", Meghalaya,1
2386,2020-01-08 14:59:26,2020,28.6,92.0,10.0,3.5,"114km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
247,2021-05-15 08:33:55,2021,26.74,92.39,16.0,3.9,"41km WNW of Tezpur, Assam, India", Assam,1
259,2021-05-12 00:27:38,2021,26.73,92.36,16.0,3.1,"43km W of Tezpur, Assam, India", Assam,1
246,2021-05-16 01:25:29,2021,27.21,92.34,22.0,2.6,"61km SE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2339,2020-01-22 01:57:17,2020,28.2,92.0,10.0,3.2,"70km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2340,2020-01-22 01:50:55,2020,28.5,91.7,10.0,4.0,"104km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
1183,2020-09-22 01:28:33,2020,26.27,91.2,71.0,4.2,"55km WNW of Guwahati, Assam, India", Assam,1
238,2021-05-18 17:33:00,2021,26.72,92.45,19.0,3.8,"34km WNW of Tezpur, Assam, India", Assam,1
2382,2020-01-11 21:17:57,2020,26.9,92.7,25.0,2.9,"29km NNW of Tezpur, Assam, India", Assam,1
232,2021-05-19 17:55:49,2021,26.22,91.47,30.0,3.2,"27km WNW of Guwahati, Assam, India", Assam,1
2381,2020-01-11 23:37:47,2020,26.3,90.0,15.0,2.7,"89km NNW of Tura, Meghalaya, India", Meghalaya,1
245,2021-05-16 20:12:19,2021,26.06,92.6,5.0,2.5,"68km SSW of Tezpur, Assam, India", Assam,1
2396,2020-01-05 04:55:37,2020,26.2,89.9,10.0,3.0,"82km NNW of Tura, Meghalaya, India", Meghalaya,1
262,2021-05-10 07:05:52,2021,26.49,92.46,23.0,3.0,"37km WSW of Tezpur, Assam, India", Assam,1
2397,2020-01-04 17:05:44,2020,28.5,92.0,10.0,3.9,"103km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
291,2021-05-06 10:30:16,2021,26.55,92.39,10.0,3.6,"41km WSW of Tezpur, Assam, India", Assam,1
289,2021-05-07 00:19:36,2021,27.01,92.46,17.0,2.9,"51km NW of Tezpur, Assam, India", Assam,1
2295,2020-01-30 10:36:20,2020,28.9,91.8,10.0,3.0,"147km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
287,2021-05-07 06:13:10,2021,26.33,92.34,68.0,2.8,"57km SW of Tezpur, Assam, India", Assam,1
2297,2020-01-30 03:15:34,2020,28.6,91.7,10.0,4.5,"114km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
280,2021-05-07 19:33:18,2021,26.75,92.42,10.0,2.8,"38km WNW of Tezpur, Assam, India", Assam,1
1185,2020-09-21 19:45:06,2020,27.22,92.67,10.0,3.2,"64km N of Tezpur, Assam, India", Assam,1
278,2021-05-08 01:09:55,2021,26.32,91.44,28.0,2.9,"35km WNW of Guwahati, Assam, India", Assam,1
2308,2020-01-28 02:37:04,2020,24.7,92.2,98.0,3.6,"36km N of Dharmanagar, Tripura, India", Tripura,1
2310,2020-01-28 01:51:01,2020,27.1,92.3,10.0,3.1,"67km SE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2313,2020-01-27 12:40:43,2020,24.9,91.7,40.0,4.6,"41km S of Cherrapunjee, Meghalaya, India", Meghalaya,1
271,2021-05-08 18:50:14,2021,25.63,91.95,13.0,3.1,"8km NE of Shillong, Meghalaya, India", Meghalaya,1
2398,2020-01-04 14:56:17,2020,27.1,92.0,20.0,3.2,"54km SSE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2314,2020-01-26 18:54:34,2020,25.9,90.3,7.0,3.2,"44km NNE of Tura, Meghalaya, India", Meghalaya,1
